node_1|node_2|edge|chunk_id|node_3|node_4|edge_1|edge_2
productid|product|The productId property links an Item to its corresponding Product.|161e7cbbd74e4c3d8729a01494005e56||||
listprice|item|The listPrice property represents the retail price of an Item.|161e7cbbd74e4c3d8729a01494005e56||||
unitcost|item|The unitCost property denotes the cost per unit for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
supplierid|item|The supplierId property specifies the ID of the supplier who provides the Item.|161e7cbbd74e4c3d8729a01494005e56||||
status|item|The status property signifies the current state of an Item, such as 'in stock' or 'out of stock'.|161e7cbbd74e4c3d8729a01494005e56||||
attribute1|item|The attribute1 property allows for additional customization of an Item.|161e7cbbd74e4c3d8729a01494005e56||||
attribute2|item|The attribute2 property provides further personalization options for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
attribute3|item|The attribute3 property offers additional customizability choices for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
attribute4|item|The attribute4 property enables further customization options for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
attribute5|item|The attribute5 property allows for additional tailoring choices for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
getitemid|tostring|method toString is called to concatenate itemId and productId in a parenthesis for string representation of the object|2f5558a7458f4495b53b66e64ef8be67||||
productid|getitemid.trim()|the getItemId() method returns the item identifier, which is concatenated with trimmed productId to form a key for representation|2f5558a7458f4495b53b66e64ef8be67||||
productid|tostring|productId is passed as argument to toString() method for string representation|2f5558a7458f4495b53b66e64ef8be67||||
supplierid|getsupplierid|the getSupplierId() method returns the identifier of supplier associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
listprice|getlistprice|the getListPrice() method returns the list price of the product|2f5558a7458f4495b53b66e64ef8be67||||
unitcost|getunitcost|the getUnitCost() method returns the unit cost of the product|2f5558a7458f4495b53b66e64ef8be67||||
status|getstatus|the getStatus() method returns the status of the product|2f5558a7458f4495b53b66e64ef8be67||||
attribute1|getattribute1|the getAttribute1() method returns the first attribute associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
attribute2|getattribute2|the getAttribute2() method returns the second attribute associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
attribute3|getattribute3|the getAttribute3() method returns the third attribute associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
attribute4|getattribute4|the getAttribute4() method returns the fourth attribute associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
attribute5|getattribute5|the getAttribute5() method returns the fifth attribute associated with the product|2f5558a7458f4495b53b66e64ef8be67||||
lineitem|item|In the class LineItem, there is a reference to Item through the field item.|333d58bcbd32400abb3c7a248f1eee7b||||
itemid|item|The attribute itemId of LineItem refers to the object Item.|333d58bcbd32400abb3c7a248f1eee7b||||
unitprice|bigdecimal|In the class LineItem, the variable unitprice is of type BigDecimal.|333d58bcbd32400abb3c7a248f1eee7b||||
orderid|int|The variable orderId in the class LineItem is of data type int.|333d58bcbd32400abb3c7a248f1eee7b||||
linenumber|int|Similarly, the variable lineNumber in the class LineItem is also an integer (of type int).|333d58bcbd32400abb3c7a248f1eee7b||||
order|int orderid|Order is a class that has an integer variable named 'orderId'|da82cace4a4e4badadc6a3b87f4242bd||||
order|string userid|Order is associated with a string variable named 'userId' in another class named 'Account'|da82cace4a4e4badadc6a3b87f4242bd||||
date|date orderdate|Both variables are of type Date and are used to store the order date|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipaddress1|Both variables are of type String and are used to store the shipping address line 1|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipaddress2|Both variables are of type String and are used to store the shipping address line 2 (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipcity|Both variables are of type String and are used to store the city part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipstate|Both variables are of type String and are used to store the state part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipzip|Both variables are of type String and are used to store the zip code part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shipcountry|Both variables are of type String and are used to store the country part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billaddress1|Both variables are of type String and are used to store the billing address line 1|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billaddress2|Both variables are of type String and are used to store the billing address line 2 (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billcity|Both variables are of type String and are used to store the city part of the billing address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billstate|Both variables are of type String and are used to store the state part of the billing address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billzip|Both variables are of type String and are used to store the zip code part of the billing address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billcountry|Both variables are of type String and are used to store the country part of the billing address|da82cace4a4e4badadc6a3b87f4242bd||||
list|list lineitems|Both variables are of type List and are used to store a list of items in the order|da82cace4a4e4badadc6a3b87f4242bd||||
bigdecimal|bigdecimal totalprice|Both variables are of type BigDecimal and are used to store the total price of the order|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billtofirstname|Both variables are of type String and are used to store the first name part of the billing address (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string billtolastname|Both variables are of type String and are used to store the last name part of the billing address (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shiptofirstname|Both variables are of type String and are used to store the first name part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string shiptolastname|Both variables are of type String and are used to store the last name part of the shipping address|da82cace4a4e4badadc6a3b87f4242bd||||
string|string creditcard|Both variables are of type String and are used to store the credit card number (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string expirydate|Both variables are of type String and are used to store the credit card expiration date (optional)|da82cace4a4e4badadc6a3b87f4242bd||||
string|string courier|Both variables are of type String and are used to store the name of the courier delivering the order|da82cace4a4e4badadc6a3b87f4242bd||||
shipaddress1|getshipaddress1|method for retrieving the first line of ship's address|744dd62831b9438389181f841918940c||||
shipaddress1|setshipaddress1|method for setting the first line of ship's address|744dd62831b9438389181f841918940c||||
shipaddress2|getshipaddress2|method for retrieving the second line of ship's address|744dd62831b9438389181f841918940c||||
shipaddress2|setshipaddress2|method for setting the second line of ship's address|744dd62831b9438389181f841918940c||||
shipcity|getshipcity|method for retrieving the city part of ship's address|744dd62831b9438389181f841918940c||||
shipcity|setshipcity|method for setting the city part of ship's address|744dd62831b9438389181f841918940c||||
shipstate|getshipstate|method for retrieving the state part of ship's address|744dd62831b9438389181f841918940c||||
shipstate|setshipstate|method for setting the state part of ship's address|744dd62831b9438389181f841918940c||||
shipzip|getshipzip|method for retrieving the zip code part of ship's address|744dd62831b9438389181f841918940c||||
shipzip|setshipzip|method for setting the zip code part of ship's address|744dd62831b9438389181f841918940c||||
shipcountry|getshipcountry|method for retrieving the country part of ship's address|744dd62831b9438389181f841918940c||||
shipcountry|setshipcountry|method for setting the country part of ship's address|744dd62831b9438389181f841918940c||||
billaddress1|getbilladdress1|method for retrieving the first line of bill's address|744dd62831b9438389181f841918940c||||
billaddress1|setbilladdress1|method for setting the first line of bill's address|744dd62831b9438389181f841918940c||||
billaddress2|getbilladdress2|method for retrieving the second line of bill's address|744dd62831b9438389181f841918940c||||
billaddress2|setbilladdress2|method for setting the second line of bill's address|744dd62831b9438389181f841918940c||||
billcity|getbillcity|method for retrieving the city part of bill's address|744dd62831b9438389181f841918940c||||
billcity|setbillcity|method for setting the city part of bill's address|744dd62831b9438389181f841918940c||||
billstate|getbillstate|method for retrieving the state part of bill's address|744dd62831b9438389181f841918940c||||
billstate|setbillstate|method for setting the state part of bill's address|744dd62831b9438389181f841918940c||||
getbillzip|billzip|retrieves the zip code associated with the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
setbillzip|billzip|sets the zip code for the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
getbillcountry|billcountry|retrieves the country associated with the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
setbillcountry|billcountry|sets the country for the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
getcourier|courier|returns the name of the courier company used for delivery|6541d6b3c39841b68ad665fb0a4b98d5||||
setcourier|courier|sets the name of the courier company used for delivery|6541d6b3c39841b68ad665fb0a4b98d5||||
gettotalprice|totalprice|retrieves the total price of the order|6541d6b3c39841b68ad665fb0a4b98d5||||
settotalprice|totalprice|sets the total price of the order|6541d6b3c39841b68ad665fb0a4b98d5||||
getbilltofirstname|billtofirstname|retrieves the first name associated with the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
setbilltofirstname|billtofirstname|sets the first name for the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
getbilltolastname|billtolastname|retrieves the last name associated with the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
setbilltolastname|billtolastname|sets the last name for the billing address|6541d6b3c39841b68ad665fb0a4b98d5||||
getshiptofirstname|shiptofirstname|retrieves the first name associated with the shipping address|6541d6b3c39841b68ad665fb0a4b98d5||||
setshiptofirstname|shiptofirstname|sets the first name for the shipping address|6541d6b3c39841b68ad665fb0a4b98d5||||
getshiptolastname|shiptolastname|retrieves the last name associated with the shipping address|6541d6b3c39841b68ad665fb0a4b98d5||||
setshiptolastname|shiptolastname|sets the last name for the shipping address|6541d6b3c39841b68ad665fb0a4b98d5||||
getcreditcard|creditcard|returns the credit card details|6541d6b3c39841b68ad665fb0a4b98d5||||
setcreditcard|creditcard|sets the credit card details|6541d6b3c39841b68ad665fb0a4b98d5||||
getexpirydate|expirydate|retrieves the expiry date of the credit card|6541d6b3c39841b68ad665fb0a4b98d5||||
setexpirydate|expirydate|sets the expiry date for the credit card|6541d6b3c39841b68ad665fb0a4b98d5||||
getcardtype|cardtype|retrieves the type of credit card being used|6541d6b3c39841b68ad665fb0a4b98d5||||
setcardtype|cardtype|sets the type of credit card being used|6541d6b3c39841b68ad665fb0a4b98d5||||
product|categoryid|The Product is associated with a CategoryId.|a407135d3d2d414d9c364497881ef3da||||
product|name|The Product has a Name.|a407135d3d2d414d9c364497881ef3da||||
product|description|The Product has a Description.|a407135d3d2d414d9c364497881ef3da||||
product|image|The Product has an Image.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.product|com.ibatis.jpetstore.domain.categoryid|The com.ibatis.jpetstore.domain.Product object is associated with a CategoryId.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.product|java.lang.string|The com.ibatis.jpetstore.domain.Product class has a java.lang.String attribute named productId which is trimmed.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.product|java.lang.string|The com.ibatis.jpetstore.domain.Product class has a java.lang.String attribute named image.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.product|java.lang.string|The com.ibatis.jpetstore.domain.Product class has a java.lang.String attribute named name.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.product|java.lang.string|The com.ibatis.jpetstore.domain.Product class has a java.lang.String attribute named description.|a407135d3d2d414d9c364497881ef3da||||
com.ibatis.jpetstore.domain.categoryid|java.lang.string|The CategoryId is represented as a java.lang.String.|a407135d3d2d414d9c364497881ef3da||||
sequence|domain|The class Sequence is a part of the package com.ibatis.jpetstore.domain.|97355d240b854d56aa241b682c57d0f6||||
accountdao|dao|The interface AccountDao belongs to the package com.ibatis.jpetstore.persistence.dao.|97355d240b854d56aa241b682c57d0f6||||
signon|domain|The class Signon is a part of the package com.ibatis.jpetstore.domain.|97355d240b854d56aa241b682c57d0f6||||
username|signon|The attribute username belongs to the class Signon.|97355d240b854d56aa241b682c57d0f6||||
password|signon|The attribute password belongs to the class Signon.|97355d240b854d56aa241b682c57d0f6||||
getusername|signon|The method getUsername() is a part of the class Signon.|97355d240b854d56aa241b682c57d0f6||||
setusername|signon|The method setUsername(String) is a part of the class Signon.|97355d240b854d56aa241b682c57d0f6||||
getpassword|signon|The method getPassword() is a part of the class Signon.|97355d240b854d56aa241b682c57d0f6||||
setpassword|signon|The method setPassword(String) is a part of the class Signon.|97355d240b854d56aa241b682c57d0f6||||
account|daoexception|Account and DaoException are both classes imported from the same package, implying a potential exception handling mechanism in place for account-related operations.|2b1dd6b463634e9587be226fcf3dc08c||||
accountdao|categorydao|Both AccountDao and CategoryDao are interfaces inherited from Dao interface, indicating their usage as database access objects (DAOs) for manipulating corresponding domain classes.|2b1dd6b463634e9587be226fcf3dc08c||||
accountdao|categorydao|Both AccountDao and CategoryDao are defined in the same package jpetstore, suggesting potential related functionality or shared data access requirements.|2b1dd6b463634e9587be226fcf3dc08c||||
accountdao|daotransaction|AccountDao's method parameters include DaoTransaction object, signifying a possible transactional context management mechanism for executing account-related database operations.|2b1dd6b463634e9587be226fcf3dc08c||||
categorydao|categorylist|CategoryDao returns CategoryList object in its getCategoryList method, implying the possible association of Categories with a list data structure.|2b1dd6b463634e9587be226fcf3dc08c||||
getitem|itemdao|interface InventoryDao in package com.ibatis.jpetstore.persistence.dao extends Dao|99ab4f36368a496db4f731e41768939f||||
itemdao|getitem|method getItem(DaoTransaction, String) throws DaoException defined in interface ItemDao in package com.ibatis.jpetstore.persistence.dao|99ab4f36368a496db4f731e41768939f||||
itemdao|getitemlist|method getItemList() throws DaoException defined in interface ItemDao in package com.ibatis.jpetstore.persistence.dao|99ab4f36368a496db4f731e41768939f||||
itemdao|updateinventoryquantity|method updateInventoryQuantity(DaoTransaction, String, int) throws DaoException defined in interface InventoryDao extended from interface Dao|99ab4f36368a496db4f731e41768939f||||
itemdao|lineitemdao|class LineItemDao in package com.ibatis.jpetstore.persistence.dao extends Dao|99ab4f36368a496db4f731e41768939f||||
lineitemdao|insertlineitem|method insertLineItem(DaoTransaction, LineItem) throws DaoException defined in interface LineItemDao in package com.ibatis.jpetstore.persistence.dao|99ab4f36368a496db4f731e41768939f||||
lineitemdao|getitemlistbyorderid|method getLineItemsByOrderId(DaoTransaction, int) throws DaoException defined in interface LineItemDao in package com.ibatis.jpetstore.persistence.dao|99ab4f36368a496db4f731e41768939f||||
lineitemdao|itemdao|class ItemDao in package com.ibatis.jpetstore.persistence.dao extends Dao|99ab4f36368a496db4f731e41768939f||||
itemdao|lineitemdao|class LineItemDao in package com.ibatis.jpetstore.persistence.dao extends Dao|99ab4f36368a496db4f731e41768939f||||
signondao|daotransaction|The method getProductList in the SignonDao class takes a DaoTransaction as an argument.|194b56bd9f2248bc824af419913b757f||||
getproductlist|signondao|The getProductList method belongs to the SignonDao interface.|194b56bd9f2248bc824af419913b757f||||
getproductlistbycategory|signondao|Another method available in the SignonDao interface is getProductListByCategory.|194b56bd9f2248bc824af419913b757f||||
getproductlistbykeyword|signondao|The third method of the SignonDao interface is called getProductListByKeyword.|194b56bd9f2248bc824af419913b757f||||
getsignon|signondao|A separate method named getSignon exists in the SignonDao interface.|194b56bd9f2248bc824af419913b757f||||
updatesignon|signondao|The SignonDao interface also includes a method called updateSignon.|194b56bd9f2248bc824af419913b757f||||
insertsignon|signondao|The last method present in the SignonDao interface is insertSignon.|194b56bd9f2248bc824af419913b757f||||
getsignon|signondao|The getSignon method of the SignonDao interface takes two arguments, username and password.|194b56bd9f2248bc824af419913b757f||||
signon|getsignon|The getSignon method returns an object of type Signon.|194b56bd9f2248bc824af419913b757f||||
basecachedao|dao.cache|The BaseCacheDao class is present in the package com.ibatis.jpetstore.persistence.dao.cache.|194b56bd9f2248bc824af419913b757f||||
basecachedao|dao|BaseCacheDao is an example of how DAO provides a pluggable framework.|620c963d3bc74fe88ee7c9fbcc92ba34||||
max_items_per_channel|cacheing|In practice, caching can be done declaratively through SQL Maps, making this somewhat redundant.|620c963d3bc74fe88ee7c9fbcc92ba34||||
channels|cachechannel|Channels are applied per class....so if you only have one cache DAO, then you only have one channel.|620c963d3bc74fe88ee7c9fbcc92ba34||||
basecachedao|channels|When getting or putting an item in a channel, synchronization is applied on CHANNELS.|620c963d3bc74fe88ee7c9fbcc92ba34||||
channel|cache|A CacheChannel holds a cache and a list of keys.|620c963d3bc74fe88ee7c9fbcc92ba34||||
basecachedao|getchannel|If a channel for the class is not found in CHANNELS, a new one is created.|620c963d3bc74fe88ee7c9fbcc92ba34||||
cachechannel|cache|CacheChannel contains a HashMap named cache to store data.|8e25a507d18d454da5803c507356c40f||||
cachechannel|keys|CacheChannel maintains a List named keys to store identifiers of cached items.|8e25a507d18d454da5803c507356c40f||||
petstorecachedao|itemdao|PetStoreCacheDao utilizes another DAO called itemMapDao to fetch cached items by their IDs.|8e25a507d18d454da5803c507356c40f||||
petstorecachedao|productdao|PetStoreCacheDao implements ProductDao interface and uses a Map-based DAO called productMapDao to retrieve products from cache.|8e25a507d18d454da5803c507356c40f||||
petstorecachedao|categorydao|PetStoreCacheDao provides a method for getting categories from cache and delegates the task to categoryMapDao, which is another Map-based DAO.|8e25a507d18d454da5803c507356c40f||||
petstorecachedao|inventorydao|PetStoreCacheDao implements InventoryDao interface and employs inventoryMapDao, a Map-based DAO for accessing inventory items from cache.|8e25a507d18d454da5803c507356c40f||||
getproductlist|productdao.getproductlist|method 'getProductList' returns a list of products retrieved from productDao.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
productlist|productdao|object 'productList' is the result returned by method 'getProductList' on object 'productDao'.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
getitemlist|itemdao.getitemlist|method 'getItemList' returns a list of items retrieved from itemDao.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
getproductlistbycategory|categoryid|parameter 'categoryId' is required to filter the products by category.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
getproductlistbykeyword|keyword|parameter 'keyword' is required to search for products by keyword.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
getitem|itemdao.getitem|method 'getItem' returns an item with the specified ID from itemDao.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
getitemlistbyproduct|productid|parameter 'productId' is required to retrieve a list of items associated with the specified product.|e0f24133c7104bac9fc6b7e82cf7bc3b||||
updateaccount|executeupdate|is invoked inside the updateAccount method|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
updateprofile|executeupdate|is invoked inside the updateAccount method|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
insertaccount|executeupdate|is invoked inside the insertAccount method|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
insertprofile|executeupdate|is invoked inside the insertAccount method|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
basemapdao|daomanager|is accessed to retrieve sqlMap in static block|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
basemapdao|daomanager|is initialized as a protected static field|d569c4a9f3ac4359a8eddcb0b5d8d62e||||
mappedstatementname|sqlmap|is a part of|9f7a83c34d9f46b6941dbb24f9f9e44b||||
executeupdate|mappedstatement|contains|9f7a83c34d9f46b6941dbb24f9f9e44b||||
conn|executesql|is executed by|9f7a83c34d9f46b6941dbb24f9f9e44b||||
conn|mappedstatement|belongs to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
parameterobject|executeupdate|is passed as argument to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
parameterobject|sqlmap.queryforlist|can also be passed to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
parameterobject|executequeryforobject|is passed as argument to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
trans|sqlmap.queryforlist|belongs to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
trans|executequeryforobject|belongs to|9f7a83c34d9f46b6941dbb24f9f9e44b||||
categorydao|basemapdao|implements interface 'CategoryDao' and also inherits from 'BaseMapDao'|727c8467fbb54c1782931a63326cdb50||||
categorydao|com.ibatis.jpetstore.persistence.dao.map|belongs to package 'com.ibatis.jpetstore.persistence.dao.map'|727c8467fbb54c1782931a63326cdb50||||
categorydao|com.ibatis.jpetstore.domain|interacts with package 'com.ibatis.jpetstore.domain'|727c8467fbb54c1782931a63326cdb50||||
basemapdao|com.ibatis.db.dao|inherited from class 'BaseMapDao' in package 'com.ibatis.db.dao'|727c8467fbb54c1782931a63326cdb50||||
categorydao|com.ibatis.jpetstore.persistence.dao|located within package 'com.ibatis.jpetstore.persistence.dao'|727c8467fbb54c1782931a63326cdb50||||
getnextid method of class 'categorymapdao'|sequence class|uses 'Sequence' class to generate IDs|727c8467fbb54c1782931a63326cdb50||||
sequence class|'com.ibatis.db.sqlmap.client.sqlmapclient'|is used by SqlMapClient to manage sequences|727c8467fbb54c1782931a63326cdb50||||
getnextid method of class 'categorymapdao'|'com.ibatis.db.dao.impl.abstractbasesqlmapper'|is used by AbstractBaseSQLMapper in SqlMapClient|727c8467fbb54c1782931a63326cdb50||||
getnextid method of class 'categorymapdao'|'com.ibatis.db.dao'|belongs to package 'com.ibatis.db.dao'|727c8467fbb54c1782931a63326cdb50||||
categorydao|category|The method getCategory in the class CategoryMapDao takes a categoryId as an argument and returns a Category object using executeQueryForObject. This suggests that Category is a subclass or interface of CategoryDao, which provides methods for working with categories.|1a5e45b9284a42eb8ff787a8d8929528||||
categorydao|daotransaction|The method getCategory in the class CategoryMapDao takes a DaoTransaction object as an argument. This indicates that DaoTransaction is a required parameter for executing database transactions related to categories.|1a5e45b9284a42eb8ff787a8d8929528||||
categorymapdao|basemapdao|The class CategoryMapDao extends the class BaseMapDao. This suggests that BaseMapDao provides common functionality for working with maps and is possibly a superclass of CategoryMapDao.|1a5e45b9284a42eb8ff787a8d8929528||||
categorydao|list|The method getCategoryList in the class CategoryMapDao returns a List object using executeQueryForList. This indicates that the method returns a list of categories.|1a5e45b9284a42eb8ff787a8d8929528||||
inventorymapdao|itemdao|The interface InventoryDao is implemented by the class InventoryMapDao, as indicated by the extends statement in the code. This suggests that InventoryMapDao provides methods for working with inventory items.|1a5e45b9284a42eb8ff787a8d8929528||||
inventorymapdao|item|The method updateInventoryQuantity in the class InventoryMapDao takes an Item object as an argument. This indicates that Item is a required parameter for updating inventory quantities.|1a5e45b9284a42eb8ff787a8d8929528||||
basemapdao|daotransaction|The methods getCategory and getCategoryList in the class CategoryMapDao take DaoTransaction objects as arguments. This suggests that DaoTransaction is a required parameter for executing database transactions related to categories.|1a5e45b9284a42eb8ff787a8d8929528||||
inventorymapdao|basemapdao|The class InventoryMapDao extends the class BaseMapDao. This suggests that BaseMapDao provides common functionality for working with maps and is possibly a superclass of InventoryMapDao.|1a5e45b9284a42eb8ff787a8d8929528||||
item|string|The variable itemId in the class Item is declared as a String object. This suggests that itemId is a property or field of an inventory item, such as the unique identifier for a specific product.|1a5e45b9284a42eb8ff787a8d8929528||||
item|int|The variable quantity in the class Item is declared as an int object. This suggests that quantity is a property or field of an inventory item, such as the current number of units in stock.|1a5e45b9284a42eb8ff787a8d8929528||||
itemmapdao|basemapdao|extends BaseMapDao|11f6aa0e45d24eae9d404179a0d5cc3a||||
itemmapdao|daotransaction|parameter of getItem and getItemList methods|11f6aa0e45d24eae9d404179a0d5cc3a||||
itemmapdao|string itemid|parameter of getItem method|11f6aa0e45d24eae9d404179a0d5cc3a||||
