node_1|node_2|edge|chunk_id
localdatetime|completiontime|The 'completionTime' parameter of the 'registerHandlingEvent' method is an instance of the LocalDateTime class, which represents a point in time.|9e57532429b9487e8fdaa10302439de9
localdatetime|registrationtime|The 'registrationTime' variable of the 'registerHandlingEvent' method is an instance of the LocalDateTime class, which represents a point in time.|9e57532429b9487e8fdaa10302439de9
trackingid|trackingid|The 'trackingId' parameter of the 'registerHandlingEvent' method is an instance of the TrackingId class, which represents a unique identifier for a cargo unit.|9e57532429b9487e8fdaa10302439de9
voyagenumber|voyagenumber|The 'voyageNumber' parameter of the 'registerHandlingEvent' method is an instance of the VoyageNumber class, which represents a unique identifier for a voyage.|9e57532429b9487e8fdaa10302439de9
unlocode|unlocode|The 'unLocode' parameter of the 'registerHandlingEvent' method is an instance of the UnLocode class, which represents a unique identifier for a location.|9e57532429b9487e8fdaa10302439de9
handlingevent.type|type|The 'type' parameter of the 'registerHandlingEvent' method is an instance of the HandlingEvent.Type enum, which represents the type of handling event.|9e57532429b9487e8fdaa10302439de9
registered handling event|event|The string 'Registered handling event' contains the term 'event', which is a type of activity or occurrence that happens in a specific context. This event is related to the concept of handling, implying that something is being transferred or managed.|aa7e96513f484508b56157d361022afa
handler|event|The concept of handling is directly associated with events, as it refers to the process of managing or processing a specific occurrence.|aa7e96513f484508b56157d361022afa
logger|handler|In this context, 'Logger' is used to refer to an object that handles logging operations. This handler is related to the concept of handling, as it manages the process of recording events or messages.|aa7e96513f484508b56157d361022afa
info|event|The string 'Registered handling event' also includes the keyword 'info', which is a type of event that provides additional details or status updates. This info event is related to the concept of handling, as it suggests that some action has been taken with respect to this event.|aa7e96513f484508b56157d361022afa
applicationsettings|sampleloaded|The class 'ApplicationSettings' contains a boolean variable called 'sampleLoaded', which indicates whether a specific sample has been loaded. This boolean value is related to the concept of settings, as it allows users to customize certain aspects of the application.|aa7e96513f484508b56157d361022afa
applicationsettings|id|The class 'ApplicationSettings' also includes a primary key called 'id', which uniquely identifies each instance of this entity in the database. This id is related to the concept of persistence, as it enables data to be stored and retrieved over time.|aa7e96513f484508b56157d361022afa
entity|applicationsettings|The annotation '@Entity' is used to indicate that 'ApplicationSettings' is a persistent object in the database. This entity annotation is related to the concept of persistence, as it allows data to be mapped between Java objects and relational tables.|aa7e96513f484508b56157d361022afa
id|applicationsettings.id|The '@Id' annotation is used to specify that 'id' is a primary key for 'ApplicationSettings'. This id annotation is related to the concept of persistence, as it enables unique identification and retrieval of specific entities.|aa7e96513f484508b56157d361022afa
serializable|applicationsettings|The interface 'Serializable' is implemented by 'ApplicationSettings', indicating that this class can be serialized into a stream of bytes for storage or transmission. This serializable interface is related to the concept of persistence, as it enables data to be transferred between different formats or locations.|aa7e96513f484508b56157d361022afa
localdate|dateconverter.date_formatter|The class 'LocalDate' is used to represent dates in the Java time library, while 'DateConverter.DATE_FORMATTER' is a formatter that converts dates into a specific format based on the system default zone. Both of these classes are related to the concept of date and time manipulation.|aa7e96513f484508b56157d361022afa
localdatetime|dateconverter.date_time_formatter|The class 'LocalDateTime' is used to represent combined dates and times in the Java time library, while 'DateConverter.DATE_TIME_FORMATTER' is a formatter that converts date-times into a specific format based on the system default zone. Both of these classes are related to the concept of date and time manipulation.|aa7e96513f484508b56157d361022afa
loadsampledata|context|is a method in the SampleDataGenerator class that loads sample data for demonstration purposes. It checks if sample data has already been loaded and skips loading if it has already been done. If not, it proceeds to load the sample data.|0b74607a2b854596953796fe34bb3fb8
context|samplelocations|is used as a container for storing location names that are used in the simulation. These locations are persisted into the database using the EntityManager class.|0b74607a2b854596953796fe34bb3fb8
samplelocations.hongkong|context|is a constant string that represents the name of one of the sample locations stored in the SampleLocations container.|0b74607a2b854596953796fe34bb3fb8
samplelocations.melbourne|context|is a constant string that represents the name of another sample location stored in the SampleLocations container.|0b74607a2b854596953796fe34bb3fb8
samplelocations.stockholm|context|is a constant string that represents the name of yet another sample location stored in the SampleLocations container.|0b74607a2b854596953796fe34bb3fb8
samplelocations.helsinki|context|is a constant string that represents the final sample location stored in the SampleLocations container.|0b74607a2b854596953796fe34bb3fb8
samplelocations.hongkong|samplevoyages.hongkong_to_new_york|is departure location|771eb6192ae44c6f8d57c6f64d8e4511
samplelocations.newyork|samplevoyages.hongkong_to_new_yor|is arrival location|771eb6192ae44c6f8d57c6f64d8e4511
samplelocations.helsinki|dallastohelsinkialt|is destination location in alternative route specification|771eb6192ae44c6f8d57c6f64d8e4511
trackingid trackingid1|cargo abc123|is cargo with tracking ID trackingId1|771eb6192ae44c6f8d57c6f64d8e4511
localdate.now().plusdays(15)|routespecification routespecification1|specifies expected arrival date at destination location in RouteSpecification for Cargo abc123|771eb6192ae44c6f8d57c6f64d8e4511
samplelocations.helsinki|routespecification routespecification1|specifies intermediate stopover location in RouteSpecification for Cargo abc123|771eb6192ae44c6f8d57c6f64d8e4511
handlingevent|event2|is a subclass of HandlingEvent|fb45298db3554cd4b057072bb76d83a7
handlingevent|event3|is a subclass of HandlingEvent|fb45298db3554cd4b057072bb76d83a7
samplelocations.hongkong|handlingevent|belongs to SampleLocations.HONGKONG during event loading|fb45298db3554cd4b057072bb76d83a7
samplevoyages.hongkong_to_new_york|handlingevent|is involved in the handling event for SampeLocations.HONGKONG during loading|fb45298db3554cd4b057072bb76d83a7
localdatetime|handlingevent|occurs at specific LocalDateTime instance|fb45298db3554cd4b057072bb76d83a7
localdatetime|handlingevent|ends at specific LocalDateTime instance|fb45298db3554cd4b057072bb76d83a7
trackingid|cargo|represents the tracking ID for a particular Cargo object|fb45298db3554cd4b057072bb76d83a7
routespecification|cargo|specifies the itinerary of the Cargo from source location to destination location|fb45298db3554cd4b057072bb76d83a7
samplelocations.hangzou|cargo|is loaded onto cargo at SampleLocations.HANGZOU|fb45298db3554cd4b057072bb76d83a7
samplelocations.newyork|cargo|is unloaded from cargo at SampleLocations.NEWYORK|fb45298db3554cd4b057072bb76d83a7
trackingid|cargo|represents the tracking ID for a particular Cargo object|fb45298db3554cd4b057072bb76d83a7
routespecification|cargo|specifies the itinerary of the Cargo from source location to destination location|fb45298db3554cd4b057072bb76d83a7
samplelocations.hangzou|cargo|is loaded onto cargo at SampleLocations.HANGZOU|fb45298db3554cd4b057072bb76d83a7
samplevoyages.new_york_to_dallas|leg|is a part of the itinerary represented by SampleVoyages.NEW_YORK_TO_DALLAS|fb45298db3554cd4b057072bb76d83a7
samplelocations.newyork|leg|originates from SampleLocations.NEWYORK during the Leg represented by SampleVoyages.NEW_YORK_TO_DALLAS|fb45298db3554cd4b057072bb76d83a7
samplelocations.dallas|leg|ends at SampleLocations.DALLAS during the Leg represented by SampleVoyages.NEW_YORK_TO_DALLAS|fb45298db3554cd4b057072bb76d83a7
localdatetime|leg|occurs at specific LocalDateTime instance during the Leg represented by SampleVoyages.NEW_YORK_TO_DALLAS|fb45298db3554cd4b057072bb76d83a7
localdatetime|leg|ends at specific LocalDateTime instance during the Leg represented by SampleVoyages.NEW_YORK_TO_DALLAS|fb45298db3554cd4b057072bb76d83a7
samplevoyages.dallas_to_helsinki|samplelocations.dallas|starting location of the voyage named SampleVoyages.DALLAS_TO_HELSINKI is SampleLocations.DALLAS|27b48a8cd855499abab140a93738bfd5
samplevoyages.dallas_to_helsinki|samplelocations.stockholm|end location of the voyage named SampleVoyages.DALLAS_TO_HELSINKI is SampleLocations.STOCKHOLM|27b48a8cd855499abab140a93738bfd5
localdatetime.now().plusdays(6).minushours(11).minusminutes(38)|samplevoyages.dallas_to_helsinki|the voyage named SampleVoyages.DALLAS_TO_HELSINKI is scheduled to arrive at this datetime|27b48a8cd855499abab140a93738bfd5
localdatetime.now().plusdays(15).minushours(4).minusminutes(1)|samplevoyages.dallas_to_helsinki|the voyage named SampleVoyages.DALLAS_TO_HELSINKI is scheduled to depart at this datetime|27b48a8cd855499abab140a93738bfd5
jkl567|itinerary2|the vessel named jkl567 has this itinerary named itinerary2|27b48a8cd855499abab140a93738bfd5
handlingevent event1|localdatetime.now().minushours(2).minusminutes(44)|this handling event named HandlingEvent event1 occurred at this datetime|27b48a8cd855499abab140a93738bfd5
handlingevent event1|samplelocations.hangzou.getunlocode()|the handling event named HandlingEvent event1 took place at the location with unlocode SampleLocations.HANGZOU.getUnLocode()|27b48a8cd855499abab140a93738bfd5
handlingevent event2|samplevoyages.hongkong_to_new_york.getvoyagenumber()|the handling event named HandlingEvent event2 is related to the voyage named SampleVoyages.HONGKONG_TO_NEW_YORK.getVoyageNumber()|27b48a8cd855499abab140a93738bfd5
handlingevent event3|samplelocations.newyork.getunlocode()|the handling event named HandlingEvent event3 occurred at the location with unlocode SampleLocations.NEWYORK.getUnLocode()|27b48a8cd855499abab140a93738bfd5
trackingid2|samplevoyages.hongkong_to_new_york|is associated with|d1e6b25261954966ae0a3e9255083020
event3|trackingid2|belongs to|d1e6b25261954966ae0a3e9255083020
handlingevent.type.unload|event3|has operation type|d1e6b25261954966ae0a3e9255083020
samplevoyages.hongkong_to_new_york|samplelocations.newyork|ends at|d1e6b25261954966ae0a3e9255083020
handlingevent event3|samplevoyages.hongkong_to_new_york|is handled for|d1e6b25261954966ae0a3e9255083020
handlinghistory2|trackingid2|represents handling history of|d1e6b25261954966ae0a3e9255083020
jkl567|handlinghistory2|is derived from|d1e6b25261954966ae0a3e9255083020
trackingid3|def789|is same as|d1e6b25261954966ae0a3e9255083020
routespecification3|samplelocations.hongkong|starts at|d1e6b25261954966ae0a3e9255083020
routespecification3|samplelocations.melbourne|transits through|d1e6b25261954966ae0a3e9255083020
cargo def789|trackingid3|represents cargo with definition|d1e6b25261954966ae0a3e9255083020
routespecification4|samplelocations.newyork|originates from|d1e6b25261954966ae0a3e9255083020
routespecification4|samplelocations.dallas|ends at with a delay of 3 days|d1e6b25261954966ae0a3e9255083020
cargo mno456|trackingid4|represents cargo with definition|d1e6b25261954966ae0a3e9255083020
handlingevent|localdatetime|time stamp of handling event|7b855901f0e849e29d10015a8e5970d8
trackingid4|handlinghistory3|tracking number of cargo related to handling history|7b855901f0e849e29d10015a8e5970d8
samplelocations.dallas|handlingevent|location where handling event occurred|7b855901f0e849e29d10015a8e5970d8
handlingevent.type|handlingevent|type of handling event|7b855901f0e849e29d10015a8e5970d8
cargo|mno456|cargo related to mno456|7b855901f0e849e29d10015a8e5970d8
trackingid4|cargo|tracking number of cargo|7b855901f0e849e29d10015a8e5970d8
cargo|entity|Cargo is a type of Entity in the domain model.|09c33688a4864c23a7a81bd5a5d92877
cargo|root|Cargo is the central class and root aggregate of the Cargo-Itinerary-Leg-Delivery-RouteSpecification hierarchy in the domain model.|09c33688a4864c23a7a81bd5a5d92877
cargo|aggregate|Cargo is a distinct and cohesive unit of behavior that encapsulates other objects, state, and operations within its boundary, following the Aggregate Pattern.|09c33688a4864c23a7a81bd5a5d92877
cargo|serializable|Cargo implements the Serializable interface, making it possible to transmit Cargos over networks or store them in persistent data storage systems such as databases.|09c33688a4864c23a7a81bd5a5d92877
cargo|class|Cargo is a Java class defined using the @Entity annotation, which indicates that it is a persistent entity managed by the JPA framework.|09c33688a4864c23a7a81bd5a5d92877
cargo|namedquery|The Cargo class has a NamedQuery annotated with the name 'Cargo.findAll', which can be used to retrieve all Cargos.|09c33688a4864c23a7a81bd5a5d92877
cargo|trackingid|The Cargo class has a @Embedded and @NotNull annotated field called 'trackingId', which is a unique identifier for the Cargo.|09c33688a4864c23a7a81bd5a5d92877
cargo|location|The Cargo class has a @ManyToOne and @JoinColumn annotated field called 'origin', which is a Location where the Cargo originates from.|09c33688a4864c23a7a81bd5a5d92877
cargo|routespecification|The Cargo class has an @Embedded and @NotNull annotated field called 'routeSpecification', which specifies the route that the Cargo follows.|09c33688a4864c23a7a81bd5a5d92877
cargo|itinerary|The Cargo class has an @Embedded and @NotNull annotated field called 'itinerary', which is a plan for the movement of the Cargo along its route.|09c33688a4864c23a7a81bd5a5d92877
cargo|delivery|The Cargo class has an @Embedded and @NotNull annotated field called 'delivery', which represents the completion of transportation for a specific delivery.|09c33688a4864c23a7a81bd5a5d92877
trackingid|identifier|The TrackingId class is used to uniquely identify Cargos and is a type of Identifier.|09c33688a4864c23a7a81bd5a5d92877
cargo|trackingid|Cargo has a TrackingId which is required.|4f60d53c4a894b1cabc963992c6871ea
cargo|routespecification|Cargo's origin can be derived from the initial RouteSpecification at creation.|4f60d53c4a894b1cabc963992c6871ea
routespecification|origin|RouteSpecification has an Origin which cannot be null.|4f60d53c4a894b1cabc963992c6871ea
cargorepository|cargo|CargoRepository provides a method to find a specific Cargo by its TrackingId and a method to store new Cargos. It also has methods for finding all Cargos and generating the next available TrackingId.|65c3e0b3f4c3460f81a6927093480919
cargo|trackingid|A Cargo is identified by its unique TrackingId, which can be obtained using the CargoRepository's nextTrackingId() method.|65c3e0b3f4c3460f81a6927093480919
cargo|delivery|A Cargo may have an associated Delivery, which is represented by the interface Delivery.|65c3e0b3f4c3460f81a6927093480919
routingstatus|misrouted|The RoutingStatus of a Cargo can take on the value MISROUTED, indicating that it has been misrouted.|65c3e0b3f4c3460f81a6927093480919
routingstatus|not_routed|The RoutingStatus of a Cargo can also take on the value NOT_ROUTED, meaning it has not yet been routed.|65c3e0b3f4c3460f81a6927093480919
routingstatus|routed|Alternatively, the RoutingStatus of a Cargo can be ROUTED, indicating that it has successfully been routed.|65c3e0b3f4c3460f81a6927093480919
transportstatus|claimed|The TransportStatus of a Cargo can have the value CLAIMED when it has been claimed by the recipient.|65c3e0b3f4c3460f81a6927093480919
transportstatus|in_port|Alternatively, the TransportStatus of a Cargo can be IN_PORT, indicating that it is currently in a port.|65c3e0b3f4c3460f81a6927093480919
transportstatus|not_received|The TransportStatus of a Cargo may also take on the value NOT_RECEIVED, meaning it has not yet been received by its destination.|65c3e0b3f4c3460f81a6927093480919
transportstatus|onboard_carrier|Lastly, the TransportStatus of a Cargo can be ONBOARD_CARRIER when it is currently being transported by a carrier.|65c3e0b3f4c3460f81a6927093480919
transportstatus|unknown|When the TransportStatus of a Cargo cannot be determined, it is considered UNKNOWN.|65c3e0b3f4c3460f81a6927093480919
delivery|transportstatus|the attribute 'transportStatus' of Delivery is related to TransportStatus|8307f264bda04b6e839d096dac00ee03
delivery|location|the attribute 'lastKnownLocation' of Delivery is related to Location|8307f264bda04b6e839d096dac00ee03
delivery|handlinghistory|DerivedFrom relationship between Delivery and HandlingHistory, as specified in the derivedFrom() constructor method.|05d477c599244da5b91cef7672bdf121
delivery|routespecification|Requires RouteSpecification to be created during initialization, as mentioned in Delivery constructor.|05d477c599244da5b91cef7672bdf121
delivery|itinerary|Is initialized with Itinerary during constructor invocation.|05d477c599244da5b91cef7672bdf121
handlingevent|lastevent|Represents the 'lastEvent' field in Delivery class, as defined during class instantiation.|05d477c599244da5b91cef7672bdf121
delivery|routingstatus|Is assigned an Enum value of RoutingStatus type via @Enumerated annotation.|05d477c599244da5b91cef7672bdf121
delivery|calculatedat|Is initialized with LocalDateTime type during constructor invocation.|05d477c599244da5b91cef7672bdf121
handlingevent|lastevent|Has a reference to HandlingEvent object via the 'lastEvent' field in Delivery class, as defined during class instantiation.|05d477c599244da5b91cef7672bdf121
delivery|transportstatus|Is of type TransportStatus and is initialized to null during constructor invocation.|05d477c599244da5b91cef7672bdf121
location|lastknownlocation|Has a reference to Location object via the 'lastKnownLocation' field in Delivery class, as defined during class instantiation.|05d477c599244da5b91cef7672bdf121
voyage|currentvoyage|Has a reference to Voyage object via the 'currentVoyage' field in Delivery class, as defined during class instantiation.|05d477c599244da5b91cef7672bdf121
boolean|isunloadedatdestination|Is of Boolean type and is initialized to null during constructor invocation.|05d477c599244da5b91cef7672bdf121
handlingactivity|nextexpectedactivity|Has a reference to HandlingActivity object via the 'nextExpectedActivity' field in Delivery class, as defined during class instantiation.|05d477c599244da5b91cef7672bdf121
delivery|handlingevent|Delivery is created as a result of handlingEvent|b7d9e3fa7f334c0abefb489aa70217e9
delivery|itinerary|Delivery is associated with Itinerary|b7d9e3fa7f334c0abefb489aa70217e9
routespecification|delivery|Delivery reflects changes in RouteSpecification|b7d9e3fa7f334c0abefb489aa70217e9
transportstatus|delivery|TransportStatus is associated with Delivery|b7d9e3fa7f334c0abefb489aa70217e9
location|delivery|LastKnownLocation of Delivery is a Location|b7d9e3fa7f334c0abefb489aa70217e9
voyage|delivery|CurrentVoyage of Delivery is a Voyage|b7d9e3fa7f334c0abefb489aa70217e9
localdatetime|delivery|EstimatedTimeOfArrival of Delivery is a LocalDateTime|b7d9e3fa7f334c0abefb489aa70217e9
handlingactivity|delivery|NextExpectedActivity of Delivery is a HandlingActivity|b7d9e3fa7f334c0abefb489aa70217e9
calculatetransportstatus|lastevent|is used to calculate the TransportStatus based on the type of event in lastEvent|3ac9f0454d1f46f1a9bd4e5b06e4fc70
onboard_carrier|calculatetransportstatus|is returned when the lastEvent is of LOAD type|3ac9f0454d1f46f1a9bd4e5b06e4fc70
in_port|calculatetransportstatus|is returned when the lastEvent is of UNLOAD, RECEIVE, CUSTOMS or CLAIM type|3ac9f0454d1f46f1a9bd4e5b06e4fc70
unknown|calculatetransportstatus|is returned when the type of event in lastEvent is not LOAD, UNLOAD, RECEIVE, CUSTOMS or CLAIM|3ac9f0454d1f46f1a9bd4e5b06e4fc70
lastevent|calculatedat|is used to calculate the calculatedAt time based on the last event|3ac9f0454d1f46f1a9bd4e5b06e4fc70
not_received|isunloadedatdestination|indicates that the cargo has not been unloaded at the final destination|3ac9f0454d1f46f1a9bd4e5b06e4fc70
routingstatus|calculatetransportstatus|affects the calculation of TransportStatus based on its value|3ac9f0454d1f46f1a9bd4e5b06e4fc70
is_unloaded|routingstatus|is returned when the routingStatus is IS_UNLOADED|3ac9f0454d1f46f1a9bd4e5b06e4fc70
in_transit|routingstatus|is returned when the routingStatus is IN_TRANSIT|3ac9f0454d1f46f1a9bd4e5b06e4fc70
onboard_carrier|calculatelastknownlocation|indicates that the current location of the cargo is onboard the carrier|3ac9f0454d1f46f1a9bd4e5b06e4fc70
gettransportstatus|transportstatus|is a method to get the current TransportStatus of the cargo|3ac9f0454d1f46f1a9bd4e5b06e4fc70
lastevent|calculatelastknownlocation|is used to calculate the last known location based on the event type and location in the lastEvent|3ac9f0454d1f46f1a9bd4e5b06e4fc70
currentvoyage|calculatecurrentvoyage|indicates that the voyage is calculated based on the current transport status and last event|3ac9f0454d1f46f1a9bd4e5b06e4fc70
calculatelastknownlocation|getlastknownlocation|is a method to get the last known location of the cargo|3ac9f0454d1f46f1a9bd4e5b06e4fc70
calculatemisdirectionstatus|itinerary|is called with an Itinerary object as an argument and returns a boolean value indicating whether the last event in the itinerary is null or not|c87c346d49234282875158633446ef77
lastevent|itinerary|is accessed from the Itinerary object to retrieve the most recent event in the sequence of events for a specific voyage|c87c346d49234282875158633446ef77
calculateeta|itinerary|takes an Itinerary object as an argument and returns a LocalDateTime object representing the estimated time of arrival (ETA) for the final leg of the voyage|c87c346d49234282875158633446ef77
ontrack|null|is called to check whether the vessel is currently following the planned route specified by the RouteSpecification object|c87c346d49234282875158633446ef77
lastevent|calculatenextexpectedactivity|is passed as a parameter to the calculateNextExpectedActivity method to determine the next expected handling activity based on the type of the last event|c87c346d49234282875158633446ef77
routespecification|calculatenextexpectedactivity|is used in conjunction with the itinerary to identify the origin location for the next handling activity|c87c346d49234282875158633446ef77
lastevent|calculateeta|is accessed from within a nested loop iterating through the legs of the itinerary in order to find the first leg following the final unload location specified by the last event|c87c346d49234282875158633446ef77
nextleg|calculateeta|is accessed from within a nested loop iterating through the legs of the itinerary in order to find the first leg following the final unload location specified by the last event|c87c346d49234282875158633446ef77
receive|not_routed|If itinerary is null or itinerary equals Itinerary.EMPTY_ITINERARY, then routing status is NOT_ROUTED.|ccdbb163b6be49a4ab5264167f12c4f1
receive|routed|If itinerary is not null and itinerary is not Itinerary.EMPTY_ITINERARY, and routeSpecification is satisfied by itinerary, then routing status is ROUTED.|ccdbb163b6be49a4ab5264167f12c4f1
receive|misrouted|If itinerary is not null and itinerary is not Itinerary.EMPTY_ITINERARY, but routeSpecification is not satisfied by itinerary, then routing status is MISROUTED.|ccdbb163b6be49a4ab5264167f12c4f1
claim|routed|If itinerary is not null and itinerary is not Itinerary.EMPTY_ITINERARY, and routeSpecification is satisfied by itinerary, then routing status is ROUTED.|ccdbb163b6be49a4ab5264167f12c4f1
