node_1|node_2|edge|chunk_id|node_3|node_4|relation|node_5|edge_1|edge_2|edge_3
backorder|em|The variable 'em' is used to access the entity manager, and the method 'find' is called on it with an argument 'BackOrder.class' and a primary key value 'backOrderID', which allows retrieving a specific BackOrder instance.|2bd56ecc4c3f49d8932690014cd7513d|||||||
system|currenttimemillis|The built-in Java class 'System' is used to access the current time in milliseconds since the Unix epoch, which is assigned to the variable 'orderDate' of the BackOrder object.|2bd56ecc4c3f49d8932690014cd7513d|||||||
catalogmgr|../sample.plantsbywebsphere/src/main/java/com/ibm/websphere/samples/pbw/bean/catalogmgr.java|The file path '../sample.plantsbywebsphere/src/main/java/com/ibm/websphere/samples/pbw/bean/CatalogMgr.java' is provided to indicate the location of another Java source code module, which might be related to the current context.|2bd56ecc4c3f49d8932690014cd7513d|||||||
catalogmgr|entitymanager|relation between CatalogMgr and EntityManager, CatalogMgr is annotated with @PersistenceContext to access EntityManager|684e1b5428fa444584bd72a2a6005c72|||||||
inventory|catalogmgr|CatalogMgr provides transactional access to inventory items represented by Inventory class through getItems() method|684e1b5428fa444584bd72a2a6005c72|||||||
getitemsbycategory|catalogmgr|method of CatalogMgr to retrieve inventory items for a specific category|684e1b5428fa444584bd72a2a6005c72|||||||
int|util.getcategorystrings()|category values passed to getItems() method are obtained from Util.getCategoryStrings()|684e1b5428fa444584bd72a2a6005c72|||||||
vector<inventory>|getitems()|return type of getItems() method is Vector<Inventory>|684e1b5428fa444584bd72a2a6005c72|||||||
int|category|category parameter in getItemsByCategory() method|684e1b5428fa444584bd72a2a6005c72|||||||
vector<inventory>|getitemsbycategory|return type of getItemsByCategory() method is Vector<Inventory>|684e1b5428fa444584bd72a2a6005c72|||||||
namedquery|"em.createnamedquery(""getitemsbycategory"")"|"NamedQuery ""getItemsByCategory"" is created using EntityManager"|684e1b5428fa444584bd72a2a6005c72|||||||
getitemslikename|name|a method named getItemsLikeName that takes a parameter named name which is used to search for inventory items by their names.|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
vector|returntype|the method getItemsLikeName returns a Vector of Inventory objects|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
em|createnamedquery|the EntityManager object is used to create a named query called 'getItemsLikeName'|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
query|getresultlist|the Query object is used to retrieve the result list of inventory items that match the search criteria|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
string|name|the parameter 'name' in the getItemsLikeName method is a String value that includes wildcard characters (%) to perform a search for inventory items with names containing specific text.|0fde7a1f1d00454783f75bcd60bbe4c3| '%'|'%'|||||
storeitem|getitem|a method named getItem that returns a StoreItem object corresponding to the given ID|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
inventory|getiteminventory|a method named getItemInventory that retrieves an Inventory object with the specified ID|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
em|find|the EntityManager object is used to find a specific Inventory object by its ID|0fde7a1f1d00454783f75bcd60bbe4c3|||||||
em.persist(item)|item|An inventory item is persisted in the database using the EntityManager (em) method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
em.flush()|item|The changes made to the inventory item, such as adding or updating it, are flushed to the database using the EntityManager (em) method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
return retval;|retval|The method returns a boolean value indicating whether the operation was successful or not.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
em.remove(em.find(inventory.class, inventoryid));|inventoryid|A specific inventory item with a given ID is removed from the database using the EntityManager (em) method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public boolean additem(storeitem item);|additem(storeitem item)|A StoreItem is added to the inventory using the addItem() method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public boolean additem(new inventory(item));|new inventory(item)|A new Inventory object is created from a StoreItem object to be added to the database.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public boolean deleteitem(string inventoryid);|deleteitem(string inventoryid)|A specific inventory item with a given ID is deleted from the database using the deleteItem() method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public byte[] getitemimagebytes(string inventoryid);|getitemimagebytes(string inventoryid)|The image bytes of a specific inventory item with a given ID are retrieved using the getItemImageBytes() method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public void setitemimagebytes(string inventoryid, byte[] imgbytes);|setitemimagebytes(string inventoryid, byte[] imgbytes)|The image bytes of a specific inventory item with a given ID are updated using the setItemImageBytes() method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
public void setitemquantity(string inventoryid, int quantity);|setitemquantity(string inventoryid, int quantity)|The quantity of a specific inventory item with a given ID is updated using the setItemQuantity() method.|eb51b078218746dd92d1cb9f9c2c7a51|||||||
getinv|inventoryid|argument passed to function|43408ba1d08a42b387f1ca556c1fdf95|||||||
inventory|em.find(inventory.class, inventoryid)|method used to retrieve inventory with given ID from database|43408ba1d08a42b387f1ca556c1fdf95|||||||
inventoryid|getinv|input parameter for retrieving inventory|43408ba1d08a42b387f1ca556c1fdf95|||||||
em.find(inventory.class, inventoryid)|inventory inv = em.find(inventory.class, inventoryid)|assignment of retrieved inventory to variable|43408ba1d08a42b387f1ca556c1fdf95|||||||
em|getinv|member function called on EntityManager object for retrieving inventory|43408ba1d08a42b387f1ca556c1fdf95|||||||
setquantity|quantity|method called on Inventory object with new quantity value as argument|43408ba1d08a42b387f1ca556c1fdf95|||||||
quantity|inv.setquantity(quantity)|input parameter for setting quantity of inventory|43408ba1d08a42b387f1ca556c1fdf95|||||||
lockmodetype.optimistic_force_increment|em.lock(inv, lockmodetype.optimistic_force_increment)|mode used to lock retrieved inventory object for updating|43408ba1d08a42b387f1ca556c1fdf95|||||||
em.refresh(inv)|getinvupdate|method called on EntityManager object to refresh retrieved inventory object after locking|43408ba1d08a42b387f1ca556c1fdf95|||||||
inventoryid|getinvupdate|input parameter for retrieving inventory with updated quantity|43408ba1d08a42b387f1ca556c1fdf95|||||||
customermgr|transactional facade|provides a transactional facade for access to a user DB|30b9a9dbecb946909099bcf22b377da8|||||||
customermgr|dependent|implementation class of CustomerMgr is Dependent annotation provided by JEE|30b9a9dbecb946909099bcf22b377da8|||||||
customermgr|serializable|CustomerMgr implements Serializable interface|30b9a9dbecb946909099bcf22b377da8|||||||
entitymanager|customermgr|EntityManager is a member variable of CustomerMgr|30b9a9dbecb946909099bcf22b377da8|||||||
unitname|pbw|UnitName is passed to EntityManager as an argument to select the Persistence Unit named PBW|30b9a9dbecb946909099bcf22b377da8|||||||
customer|entity|Customer is a subclass of Entity class provided by JPA|30b9a9dbecb946909099bcf22b377da8|||||||
customermgr|create a new user|CustomerMgr's method for creating a new user is called 'createNewUser'|30b9a9dbecb946909099bcf22b377da8|||||||
customerid|new customer id|customerID parameter of 'createNewUser' method represents the unique identifier for a customer|30b9a9dbecb946909099bcf22b377da8|||||||
password|password for the customer id|password parameter of 'createNewUser' method is used to set up the user's password|30b9a9dbecb946909099bcf22b377da8|||||||
firstname||firstName parameter of 'createNewUser' method is an optional parameter which represents the customer's first name|30b9a9dbecb946909099bcf22b377da8|||||||
util|customermgr|CustomerMgr has a member reference to Util class for simple authentication support|30b9a9dbecb946909099bcf22b377da8|||||||
customer|customerid|The new customer ID is provided as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|password|The password for the customer ID is also provided as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|firstname|First name of the user is passed as a parameter in the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|lastname|Last name of the user is also provided as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|addr1|Address line 1 is specified as a parameter in the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|addr2|Address line 2 can also be provided as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|addrcity|The city address information is passed as a parameter in the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|addrstate|State address information can also be provided as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|addrzip|Zip code address information is specified as a parameter in the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|phone|User's phone number is passed as an input to the method createCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
customer|customerid|To retrieve an existing user, customer ID is provided as an argument to the method getCustomer.|38b989ff5c2841c89f4aaafbd099ab1d|||||||
emailmessage|class|This class encapsulates the info needed to send an email message.|c51689f9260b4e48b59570b7158f9bf8|||||||
com.ibm.websphere.samples.pbw.bean|package|Belongs to package com.ibm.websphere.samples.pbw.bean|c51689f9260b4e48b59570b7158f9bf8|||||||
ibm|company|International Business Machines Corp., holds the copyright for this code.|c51689f9260b4e48b59570b7158f9bf8|||||||
copyright license|license|The sample source code is provided with this license.|c51689f9260b4e48b59570b7158f9bf8|||||||
source code form|form|This information contains sample code in source code form.|c51689f9260b4e48b59570b7158f9bf8|||||||
application programming interface|api|Conforms to the application programming interface for the operating platform this code is written for.|c51689f9260b4e48b59570b7158f9bf8|||||||
developing|purpose|Sample programs can be copied, modified, and distributed for developing applications conforming to the API.|c51689f9260b4e48b59570b7158f9bf8|||||||
using|purpose|Sample programs can be copied, modified, and distributed for using applications conforming to the API.|c51689f9260b4e48b59570b7158f9bf8|||||||
marketing|purpose|Sample programs can be copied, modified, and distributed for marketing applications conforming to the API.|c51689f9260b4e48b59570b7158f9bf8|||||||
distributing application programs|purpose|Sample programs can be copied, modified, and distributed for distributing application programs conforming to the API.|c51689f9260b4e48b59570b7158f9bf8|||||||
apache license|license|This information does not contain any sample code licensed under the Apache License.|c51689f9260b4e48b59570b7158f9bf8|||||||
eclipse public license|license|This information does not contain any sample code licensed under the Eclipse Public License.|c51689f9260b4e48b59570b7158f9bf8|||||||
gpl license|license|This information does not contain any sample code licensed under the GPL License.|c51689f9260b4e48b59570b7158f9bf8|||||||
lesser general public license|license|This information does not contain any sample code licensed under the Lesser General Public License.|c51689f9260b4e48b59570b7158f9bf8|||||||
apache software license|license|This information does not contain any sample code licensed under the Apache Software License.|c51689f9260b4e48b59570b7158f9bf8|||||||
mit license|license|This information does not contain any sample code licensed under the MIT License.|c51689f9260b4e48b59570b7158f9bf8|||||||
bsd license|license|This information does not contain any sample code licensed under the BSD License.|c51689f9260b4e48b59570b7158f9bf8|||||||
public domain dedication and license (pddl)|license|This information does not contain any sample code dedicated to the public domain under PDDL.|c51689f9260b4e48b59570b7158f9bf8|||||||
mozilla public license version 2.0|license|This information does not contain any sample code licensed under the Mozilla Public License Version 2.0.|c51689f9260b4e48b59570b7158f9bf8|||||||
emailmessage|subject|The 'EMailMessage' class encapsulates the information needed to send an email message, and this class has a field called 'subject'.|d9e169b4566c4a36aae75c2da597acdc|||||||
emailmessage|htmlcontents|The 'EMailMessage' class encapsulates the information needed to send an email message, and this class has a field called 'htmlContents'.|d9e169b4566c4a36aae75c2da597acdc|||||||
emailmessage|emailreceiver|The 'EMailMessage' class encapsulates the information needed to send an email message, and this class has a field called 'emailReceiver'.|d9e169b4566c4a36aae75c2da597acdc|||||||
mailerappexception|||d9e169b4566c4a36aae75c2da597acdc|||||||
programming interface|operating platform|The programming interface is provided for the operating platform.|9838736b7834442d9eab473de9351777|||||||
sample code|operating platform|The sample code is written for the operating platform.|9838736b7834442d9eab473de9351777|||||||
ibm|operating platform|IBM provides the sample source code for the operating platform on an 'AS IS' basis.|9838736b7834442d9eab473de9351777|||||||
ibm|sample source code|IBM provides the sample source code on an 'AS IS' basis.|9838736b7834442d9eab473de9351777|||||||
exception|mailer component|The MailerAppException extends the standard Exception and is thrown by the mailer component when there is some failure sending the mail.|9838736b7834442d9eab473de9351777|||||||
mailerbean|transactional facade for access to order information and notification of buyer of order state.|MailerBean provides a transactional facade for access to Order information and notification of the buyer of order state.|a4682d30029e46ddad8ce0dea4c740c8|||||||
order|entity representing an order placed by a customer|Order is an entity representing an order placed by a customer|a4682d30029e46ddad8ce0dea4c740c8|||||||
customer|entity representing a customer|Customer is an entity representing a customer|a4682d30029e46ddad8ce0dea4c740c8|||||||
entitymanager|java persistence api (jpa) interface used to manage persistence units and their contents|EntityManager is the Java Persistence API (JPA) interface used to manage persistence units and their contents|a4682d30029e46ddad8ce0dea4c740c8|||||||
em|short for entitymanager, represents a session with the database|em represents a session with the database|a4682d30029e46ddad8ce0dea4c740c8|||||||
session|javamail interface used to manage email sessions|Session is the JavaMail interface used to manage email sessions|a4682d30029e46ddad8ce0dea4c740c8|||||||
mailsession|short for session, represents a session with the mail system|mailSession represents a session with the mail system|a4682d30029e46ddad8ce0dea4c740c8|||||||
orderkey|unique identifier for an order|OrderKey is the unique identifier for an order|a4682d30029e46ddad8ce0dea4c740c8|||||||
util|utility class used to log debug messages|Util is a utility class used to log debug messages|a4682d30029e46ddad8ce0dea4c740c8|||||||
createmessage|method used to create the email message for an order|createMessage is the method used to create the email message for an order|a4682d30029e46ddad8ce0dea4c740c8|||||||
order|shows up in createmessage method when finding order details from database|Order shows up in createMessage method when finding order details from database|a4682d30029e46ddad8ce0dea4c740c8|||||||
msg|stringbuffer used to store the email message content|msg is the StringBuffer used to store the email message content|a4682d30029e46ddad8ce0dea4c740c8|||||||
plants by websphere|brand representing this application|Plants By WebSphere is the brand representing this application|a4682d30029e46ddad8ce0dea4c740c8|||||||
orderkey|thank you|The order number is being thanked for.|1ffc9f30967b4e0397b984784ba69193|||||||
orderkey|your plants by websphere order|The order number represents a specific Plants By WebSphere order.|1ffc9f30967b4e0397b984784ba69193|||||||
msg|thank you for your order |The message contains a thank you statement for the order.|1ffc9f30967b4e0397b984784ba69193|||||||
orderkey|your plants by websphere order will be shipped to:|The order number is associated with a shipping address.|1ffc9f30967b4e0397b984784ba69193|||||||
order.getshipname()|your plants by websphere order|The ship name is related to the specific order being discussed.|1ffc9f30967b4e0397b984784ba69193|||||||
"order.getshipaddr1() + "" "" + order.getshipaddr2() "|your plants by websphere order|The shipping address is associated with the specific order.|1ffc9f30967b4e0397b984784ba69193|||||||
"msg.append(""please save it for your records."")"|your plants by websphere order|The message asks the customer to keep a record of the specific order.|1ffc9f30967b4e0397b984784ba69193|||||||
orderkey|please save it for your records.|The order number is mentioned in the statement asking the customer to keep a record.|1ffc9f30967b4e0397b984784ba69193|||||||
customerinfo|your plants by websphere order number |The customer information is related to the specific order being discussed.|1ffc9f30967b4e0397b984784ba69193|||||||
mimemessage|msg|msg is an instance of MimeMessage in this context.|99648a67483e45e5ae161965ef771506|||||||
mailsession|msg|msg is initialized using mailSession in this context.|99648a67483e45e5ae161965ef771506|||||||
setfrom()|msg|The method setFrom() is being called on msg in this context.|99648a67483e45e5ae161965ef771506|||||||
internetaddress.parse(emessage.getemailreceiver(), false)|msg.setrecipients(...)|The method setRecipients(...) is being called on msg with the argument InternetAddress.parse(eMessage.getEmailReceiver(), false) in this context.|99648a67483e45e5ae161965ef771506|||||||
emessage.getsubject()|msg.setsubject(|The method setSubject(...) is being called on msg with the argument eMessage.getSubject() in this context.|99648a67483e45e5ae161965ef771506|||||||
mimebodypart mbp|msg|mbp is being added to msg using the method addBodyPart(...) in this context.|99648a67483e45e5ae161965ef771506|||||||
mp|msg.setcontent(...)|The method setContent(...) is being called on msg with the argument mp in this context.|99648a67483e45e5ae161965ef771506|||||||
"util.debug(""mail sent successfully."")"|exception handling block (catch block)|This statement executes when there is an exception while sending mail and it prints a debug message.|99648a67483e45e5ae161965ef771506|||||||
"util.debug(""error sending mail."")"|exception handling block (catch block)|This statement executes when there is an exception while sending mail and it prints a debug message.|99648a67483e45e5ae161965ef771506|||||||
"util.debug(""createandsendmail exception : "" + e)"|exception handling block (catch block)|This statement executes when there is an exception while sending mail and it prints a debug message with the exception details.|99648a67483e45e5ae161965ef771506|||||||
nosupplierexception.java|this context|This class NoSupplierException is being used in this context for handling exceptions related to suppliers.|99648a67483e45e5ae161965ef771506|||||||
ibm provides the sample source code|as is basis|warranty and disclaimers associated with the sample source code provided by IBM|759449759967409c9178401a1110f59e|||||||
ibm|copyright international business machines corp.|ownership of intellectual property rights in the sample source code|759449759967409c9178401a1110f59e|||||||
nosupplierexception|exception|is a subclass of Exception class|759449759967409c9178401a1110f59e|||||||
populatedbbean|dbbean|uses the ResetDBBean class for resetting the database|759449759967409c9178401a1110f59e|||||||
resetdbbean|dbbean|is injected into PopulateDBBean class as a dependency|759449759967409c9178401a1110f59e|||||||
populatedbbean|dbbean|The PopulateDBBean object has a member variable dbBean of type ResetDBBean.|0ba23d01fbd3408cbb85b4405ff7cac0|||||||
resetdbbean|populatedb|The method populateDB() is defined in the ResetDBBean class.|0ba23d01fbd3408cbb85b4405ff7cac0|||||||
util|debug|The debug() method is called from the initDB() method of PopulateDBBean to output a message.|0ba23d01fbd3408cbb85b4405ff7cac0|||||||
com.ibm.websphere.samples.pbw.utils.util|class|The Util class is imported from the specified package.|0ba23d01fbd3408cbb85b4405ff7cac0|||||||
plantsbywebsphere application|resetbean|The PlantsByWebSphere application is associated with the resetbean class, which implements Serializable and contains methods for deleting all data, populating the database, and injecting dependencies such as CatalogMgr, CustomerMgr, ShoppingCartBean, BackOrderMgr, SuppliersBean, EntityManager, and UserTransaction.|102a79601ce142259024c39b6d42f30a|||||||
resetbean|@named|The @Named annotation is used to name the resetbean bean for injection purposes.|102a79601ce142259024c39b6d42f30a|||||||
resetbean|@dependent|The @Dependent annotation indicates that the resetbean bean should be created only once per context, rather than being shared across multiple injected instances.|102a79601ce142259024c39b6d42f30a|||||||
resetbean|@rolesallowed|The @RolesAllowed annotation specifies that access to the resetbean class is restricted to users with the 'SampAdmin' role.|102a79601ce142259024c39b6d42f30a|||||||
catalogmgr|catalog|The CatalogMgr interface is injected into the resetbean class as a dependency and used in methods for adding images, deleting all data, and populating the database.|102a79601ce142259024c39b6d42f30a|||||||
customermgr|customer|The CustomerMgr interface is injected into the resetbean class as a dependency and used in methods for deleting all data and populating the database.|102a79601ce142259024c39b6d42f30a|||||||
shoppingcartbean|cart|The ShoppingCartBean interface is injected into the resetbean class as a dependency and used in methods for deleting all data and populating the database.|102a79601ce142259024c39b6d42f30a|||||||
backordermgr|backorderstock|The BackOrderMgr interface is injected into the resetbean class as a dependency and used in methods for deleting all data.|102a79601ce142259024c39b6d42f30a|||||||
suppliersbean|suppliers|The SuppliersBean interface is injected into the resetbean class as a dependency and used in methods for deleting all data.|102a79601ce142259024c39b6d42f30a|||||||
entitymanager|em|The EntityManager interface is injected into the resetbean class as a dependency and used in methods for deleting all data, populating the database, and accessing persistence contexts.|102a79601ce142259024c39b6d42f30a|||||||
usertransaction|tx|The UserTransaction interface is injected into the resetbean class as a dependency and used in methods for executing transactions.|102a79601ce142259024c39b6d42f30a|||||||
plantsbywebsphere application|inventory table|The PlantsByWebSphere application contains a method called 'populateDB' that populates the INVENTORY table with text using the Util.debug() method for logging debug messages.|102a79601ce142259024c39b6d42f30a|||||||
inventory table|text|The 'populateDB' method populates the INVENTORY table with text, implying that it contains textual data.|102a79601ce142259024c39b6d42f30a|||||||
inventory|text...|Populating INVENTORY table with text...|72916ead4aab4dc49fae196314933124|||||||
util.debug|populating inventory table with text...||72916ead4aab4dc49fae196314933124|||||||
string[] values|inventory table populated with text...|Found INVENTORY property values:  |72916ead4aab4dc49fae196314933124|||||||
util.getproperties|string[] values||72916ead4aab4dc49fae196314933124|||||||
for (int index = 0; index < values.length; index++)|string[] fields||72916ead4aab4dc49fae196314933124|||||||
util.debug|found inventory property values:  ||72916ead4aab4dc49fae196314933124|||||||
string[] fields|inventory table populated with text...|Found INVENTORY property values:  |72916ead4aab4dc49fae196314933124|||||||
id|inventory storeitem||72916ead4aab4dc49fae196314933124|||||||
name|inventory storeitem||72916ead4aab4dc49fae196314933124|||||||
heading|inventory storeitem||72916ead4aab4dc49fae196314933124|||||||
descr|inventory storeitem||72916ead4aab4dc49fae196314933124|||||||
pkginfo|inventory storeitem||72916ead4aab4dc49fae196314933124|||||||
image|addimage||72916ead4aab4dc49fae196314933124|||||||
price|float price = new float(fields[6]).floatvalue();||72916ead4aab4dc49fae196314933124|||||||
cost|float cost = new float(fields[7]).floatvalue();||72916ead4aab4dc49fae196314933124|||||||
quantity|int quantity = new integer(fields[8]).intvalue();||72916ead4aab4dc49fae196314933124|||||||
category|int category = new integer(fields[9]).intvalue();||72916ead4aab4dc49fae196314933124|||||||
notes|string notes = fields[10];||72916ead4aab4dc49fae196314933124|||||||
ispublic|boolean ispublic = new boolean(fields[11]).booleanvalue();||72916ead4aab4dc49fae196314933124|||||||
inventory storeitem|catalog.additem(storeitem);||72916ead4aab4dc49fae196314933124|||||||
addimage|catalog||72916ead4aab4dc49fae196314933124|||||||
id|image||72916ead4aab4dc49fae196314933124|||||||
catalog|addimage||72916ead4aab4dc49fae196314933124|||||||
order|customerid|Unique identifier assigned to the customer who placed the order|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billname|Name on the billing statement provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billaddr1|Billing address line 1 provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billaddr2|Optional second billing address line provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billcity|Billing city entered by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billstate|Two-letter state code entered by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billzip|Five-digit zip code entered by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|billphone|Telephone number provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipname|Name of the person to whom the package should be delivered|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipaddr1|Shipping address line 1 provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipaddr2|Optional second shipping address line provided by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipcity|Shipping city entered by the customer during checkout|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipstate|Two-letter state code entered by the customer during checkout for shipping address|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipzip|Five-digit zip code entered by the customer during checkout for shipping address|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shipphone|Telephone number provided by the customer during checkout for shipping address|78d63b986f3e404996f2f5e54c89e25e|||||||
order|items|A list of products purchased by the customer|78d63b986f3e404996f2f5e54c89e25e|||||||
order|shippingmethod|The chosen shipping method for delivery of the package to the customer|78d63b986f3e404996f2f5e54c89e25e|||||||
order|creditcard|Type of credit card used during checkout (e.g., Visa, Mastercard)|78d63b986f3e404996f2f5e54c89e25e|||||||
order|ccnum|The 16-digit number printed on the front of a credit card|78d63b986f3e404996f2f5e54c89e25e|||||||
order|ccexpiremonth|Two-digit expiration month (MM) printed on the front of a credit card|78d63b986f3e404996f2f5e54c89e25e|||||||
order|ccexpireyear|Four-digit expiration year (YYYY) printed on the front of a credit card|78d63b986f3e404996f2f5e54c89e25e|||||||
